step,lambda
31228000,9.751555349336732
80004000,7.51345373254545
74745000,4.027351273170726
5171000,15.572637714285698
81249000,5.343034152213734
8382000,15.251688068181803
79865000,7.450214466386852
61411000,12.055240970760867
21027000,15.57004350282484
7439000,15.537021581920884
74035000,14.039754842229732
52331000,11.91229302579713
92502000,8.845181672943282
17811000,16.173832799999982
71002000,3.6283650897457593
32406000,13.823542863913032
21090000,15.649139608938532
60708000,11.99700256014492
50557000,23.043903448275874
13557000,14.51333056497174
50307000,23.311853488372105
73015000,4.020222532243898
95842000,12.656506464319053
55816000,16.01432429007379
97068000,10.98571796783132
32602000,19.98020408163262
84628000,5.120212892599998
93392000,10.959311619718308
73727000,14.07301891261745
68067000,3.819966135905508
83682000,4.786401735288883
15462000,9.471577453212431
48296000,21.378556521739142
61982000,12.293485821014485
18119000,15.988677558139518
91771000,9.868870085495507
17580000,15.677366101694902
49554000,15.05363884690194
79360000,7.363222708475175
51120000,23.68925647058825
19266000,16.13208285714284
91217000,8.936877826086958
49592000,15.494182810215497
13870000,14.52644272727271
73150000,3.889611763864731
96567000,12.51976855967077
38241000,20.386408349514568
14106000,13.86478857051161
26921000,18.764949717514096
81378000,4.927712724452549
54326000,1.4493975537398407
89700000,11.36376210415178
82848000,6.6517085177083315
43492000,13.298022274422102
95063000,9.606217474512652
92859000,9.76375463181818
85154000,5.826490261265822
36459000,20.976467105263133
14708000,15.11494007402115
83945000,4.931713388883923
82428000,8.910452833180432
89013000,8.940566610243925
97364000,14.320151999999986
16443000,9.516619890710654
32025000,20.61390428571426
14868000,12.937599143102581
52389000,12.205043040000026
41479000,20.08834343434344
61318000,12.108184086702897
4861000,15.849466704545435
4288000,16.05702772727271
95329000,11.490306923060112
